Run ID,Algorithm,Scenario,Num Devices,Instance ID,Repetition,Path Length (L),Packets Expected,Packets Received,Avg Latency (s),Avg Throughput (pkt/s),Energy Consumed (J),Mission Duration (s)
101,CRL-AM,agriculture,149,1,1,6644.530216997554,66533,20577,261.1291135733121,45.86119283233499,265.0,448.67999999973694
102,CRL-AM,agriculture,149,10,1,6882.403662298049,68611,21160,272.0112287333555,45.70687979266145,275.0,462.94999999972396
103,CRL-AM,agriculture,149,2,1,6700.614140938069,67125,20797,265.0414675192566,46.006990531838426,267.0,452.0399999997339
104,CRL-AM,agriculture,149,3,1,6762.292767047999,67572,21045,266.25294131612776,46.177645148576914,270.0,455.7399999997305
105,CRL-AM,agriculture,149,4,1,6881.466343775373,68611,21165,270.7032742734611,45.72360604033921,275.0,462.889999999724
106,CRL-AM,agriculture,149,5,1,6844.623848869877,68313,20945,269.7025137263239,45.46539897545467,273.0,460.679999999726
107,CRL-AM,agriculture,149,6,1,6665.959830029884,66682,20607,262.3502343862775,45.79740421373478,266.0,449.95999999973577
108,CRL-AM,agriculture,149,7,1,6520.731885339771,65496,20555,257.5746801263992,46.58356940512621,261.0,441.2499999997437
109,CRL-AM,agriculture,149,8,1,6838.912858852119,68313,20890,268.8219722354172,45.37950210716518,273.0,460.33999999972633
110,CRL-AM,agriculture,149,9,1,6997.215394500099,69648,21378,275.08486949189324,45.50059594758395,279.0,469.8399999997177
111,CRL-AM,custom_hybrid,149,1,1,4100.528806993496,44253,12848,145.69312889165363,43.39954060263948,164.0,296.03999999987576
112,CRL-AM,custom_hybrid,149,10,1,6332.544611354827,61934,23430,229.3639180536938,54.49344125038005,252.0,429.95999999975396
113,CRL-AM,custom_hybrid,149,2,1,5122.55905191748,53342,15751,187.02444162271448,44.076001790933326,204.0,357.35999999982
114,CRL-AM,custom_hybrid,149,3,1,4106.108219286279,44120,13656,154.1325190392473,46.07753821238904,164.0,296.36999999987546
115,CRL-AM,custom_hybrid,149,4,1,4001.3339293616073,43359,11139,151.2500700242402,38.39842807406171,160.0,290.0899999998812
116,CRL-AM,custom_hybrid,149,5,1,4229.991073803398,43811,16045,153.90019009036357,52.81435154709327,169.0,303.7999999998687
117,CRL-AM,custom_hybrid,149,6,1,10777.712393465985,103853,47867,364.85780307912114,68.7082836924707,430.0,696.6699999995114
118,CRL-AM,custom_hybrid,149,7,1,9647.955563860822,93476,41583,321.05994060052296,66.12231268290967,384.0,628.8799999995731
119,CRL-AM,custom_hybrid,149,8,1,5119.988646755399,53034,14197,192.6769155454985,39.745240761498174,204.0,357.19999999982014
120,CRL-AM,custom_hybrid,149,9,1,3829.895629564704,39672,13008,142.03406519065942,46.49035025019689,152.0,279.79999999989053
121,CRL-AM,factory,149,1,1,3085.432322954392,34260,12170,106.6663927691296,51.75860162464834,123.0,235.12999999993113
122,CRL-AM,factory,149,10,1,3613.137070359458,39783,14394,118.41139919412383,53.95254694705674,144.0,266.78999999990236
123,CRL-AM,factory,149,2,1,7247.8101974561405,69325,33066,261.3892729690967,68.19559882034397,289.0,484.869999999704
124,CRL-AM,factory,149,3,1,3296.7744093022266,36952,11753,109.87535778101851,47.427464589822094,132.0,247.8099999999196
125,CRL-AM,factory,149,4,1,3095.1128916687176,35164,11539,116.06983880754748,48.95422341013702,123.0,235.7099999999306
126,CRL-AM,factory,149,5,1,2951.152742793325,33195,7890,107.30674271231642,34.7469943189419,117.0,227.06999999993846
127,CRL-AM,factory,149,6,1,3395.083459538134,37846,13798,127.05590810264732,54.3849276733462,135.0,253.70999999991423
128,CRL-AM,factory,149,7,1,9815.009139301064,94963,40208,280.1946826500093,62.93218137144111,391.0,638.909999999564
129,CRL-AM,factory,149,8,1,13696.577777640938,129602,65299,370.00304889779494,74.90135352150553,546.0,871.7999999993522
130,CRL-AM,factory,149,9,1,9202.521140656187,82737,34583,263.24354046767303,57.431579646643954,366.0,602.1599999995974
131,CRL-AM,forest,149,1,1,6153.270905808098,62406,18554,240.6069009377259,44.26049618323105,246.0,419.19999999976375
132,CRL-AM,forest,149,10,1,6361.391243770667,63656,20090,250.2930462916026,46.53802497164985,254.0,431.6899999997524
133,CRL-AM,forest,149,2,1,5953.210106596117,60622,18727,234.40610348687406,45.98968565817869,238.0,407.19999999977466
134,CRL-AM,forest,149,3,1,6318.2933080241455,63892,19501,249.69858314949872,45.44628291776077,252.0,429.09999999975474
135,CRL-AM,forest,149,4,1,5991.867519832024,60577,18439,234.8023927544164,45.02588396173628,239.0,409.51999999977255
136,CRL-AM,forest,149,5,1,5587.249633002566,57025,17124,220.732345246381,44.45021285434827,223.0,385.23999999979463
137,CRL-AM,forest,149,6,1,6214.438726135113,62677,18046,245.7092142302208,42.675053799064074,248.0,422.8699999997604
138,CRL-AM,forest,149,7,1,5969.955773354369,60941,18719,235.77414552052332,45.85742283197054,238.0,408.19999999977375
139,CRL-AM,forest,149,8,1,6296.310311280634,63068,20211,245.62164514365088,47.246248071465544,252.0,427.77999999975594
140,CRL-AM,forest,149,9,1,6048.286010823462,61537,18794,239.09734808974238,45.51707435216879,242.0,412.8999999997695
141,CRL-AM,urban,149,1,1,5016.941832777232,52448,17083,194.8405865479944,48.666742635771406,200.0,351.01999999982576
142,CRL-AM,urban,149,10,1,4911.898859634233,51405,16001,191.6871939253475,46.41738222327635,196.0,344.7199999998315
143,CRL-AM,urban,149,2,1,4858.910054637949,50662,14508,188.09248966084667,42.478187035214134,194.0,341.5399999998344
144,CRL-AM,urban,149,3,1,5921.927603444702,59984,18570,226.2318039848531,45.8156518306776,236.0,405.31999999977637
145,CRL-AM,urban,149,4,1,4890.5098182100655,51107,15217,190.64552737067282,44.30759375730088,195.0,343.43999999983265
146,CRL-AM,urban,149,5,1,4374.901993316783,46637,13739,164.50787175193432,43.964800000019586,175.0,312.4999999998608
147,CRL-AM,urban,149,6,1,5779.64287342733,59153,15945,224.72224521787322,40.18599727811048,230.0,396.77999999978414
148,CRL-AM,urban,149,7,1,5603.01667777472,54547,21167,207.25585581323725,54.809808643443134,223.0,386.18999999979377
149,CRL-AM,urban,149,8,1,5204.272794043652,53467,18797,197.7614246953873,51.888146635039945,208.0,362.25999999981553
150,CRL-AM,urban,149,9,1,5383.434338729408,55567,18368,208.63336454698916,49.242647650222686,215.0,373.00999999980576
151,CRL-AM,agriculture,199,1,1,8237.502263196302,108023,33720,322.9513345194202,61.95568294569081,329.0,544.2599999996501
152,CRL-AM,agriculture,199,10,1,8380.693450591316,109609,34289,327.50574878225086,62.022248349502014,334.0,552.8499999996423
153,CRL-AM,agriculture,199,2,1,8522.697992260904,111394,34403,334.0552257068978,61.28400163888772,340.0,561.3699999996345
154,CRL-AM,agriculture,199,3,1,8415.801244643973,110005,34289,330.5441750997275,61.78754842782633,335.0,554.9499999996403
155,CRL-AM,agriculture,199,4,1,8482.186130894872,110799,34562,332.23641629519204,61.83490177840638,338.0,558.9399999996367
156,CRL-AM,agriculture,199,5,1,8227.744783530685,107824,34353,321.7288181525567,63.18722754616234,328.0,543.6699999996506
157,CRL-AM,agriculture,199,6,1,8273.270100040661,108419,34092,324.3345770267148,62.39385065889816,330.0,546.3999999996481
158,CRL-AM,agriculture,199,7,1,8430.877685205929,110204,34644,329.6637593809745,62.325045874900994,336.0,555.8599999996395
159,CRL-AM,agriculture,199,8,1,8373.51784480075,109609,33547,327.39708200419466,60.72734513598657,334.0,552.4199999996426
160,CRL-AM,agriculture,199,9,1,8379.908198309407,109609,34402,327.7921795242886,62.232272069504816,334.0,552.7999999996423
161,CRL-AM,custom_hybrid,199,1,1,7792.985891830938,100586,36752,288.1795134957284,71.00738050160966,310.0,517.5799999996743
162,CRL-AM,custom_hybrid,199,10,1,5107.495179529978,62419,28797,168.40933465287637,80.78832935899699,203.0,356.4499999998208
163,CRL-AM,custom_hybrid,199,2,1,5427.089377577395,74664,28496,200.65646125766995,75.8618853659583,216.0,375.6299999998034
164,CRL-AM,custom_hybrid,199,3,1,5606.165351486832,77013,27667,190.76389127836163,71.60752646430825,223.0,386.3699999997936
165,CRL-AM,custom_hybrid,199,4,1,4821.917992560582,67512,17305,180.69666281418722,50.99905693742881,192.0,339.3199999998364
166,CRL-AM,custom_hybrid,199,5,1,4527.232114217209,64078,24146,158.51436842539482,75.07150851887538,180.0,321.6399999998525
167,CRL-AM,custom_hybrid,199,6,1,4680.10240170188,65579,23252,175.86434543262826,70.28808077147292,186.0,330.80999999984414
168,CRL-AM,custom_hybrid,199,7,1,10875.461025384513,134497,64427,348.1547208466024,91.7071157104256,433.0,702.5299999995061
169,CRL-AM,custom_hybrid,199,8,1,9485.813008047553,123137,56164,334.1294152836151,90.71145925872231,377.0,619.149999999582
170,CRL-AM,custom_hybrid,199,9,1,5945.002653215229,77593,27551,221.89478712199553,67.74114233732939,237.0,406.7099999997751
171,CRL-AM,factory,199,1,1,5287.271570625746,72916,27516,173.78925861312575,74.92647859714127,210.0,367.239999999811
172,CRL-AM,factory,199,10,1,11339.365240614548,136509,63616,321.4045623739816,87.10105836773857,451.0,730.3699999994808
173,CRL-AM,factory,199,2,1,3960.4573901233584,57312,20166,148.38997024695405,70.110906372799,157.0,287.6299999998834
174,CRL-AM,factory,199,3,1,8729.46660392873,113999,48018,264.5195314255459,83.68858601884297,347.0,573.7699999996232
175,CRL-AM,factory,199,4,1,3900.816059698581,56715,17640,144.01454648526666,62.101742650966514,154.0,284.04999999988667
176,CRL-AM,factory,199,5,1,4721.807921587446,66466,25395,159.95648749751524,76.19033332336878,187.0,333.30999999984186
177,CRL-AM,factory,199,6,1,8806.096478203377,115221,42582,260.1317434595059,73.6241506302679,350.0,578.369999999619
178,CRL-AM,factory,199,7,1,12196.55844329068,154434,75060,352.4086410868345,96.00920951656988,486.0,781.799999999434
179,CRL-AM,factory,199,8,1,10366.117921967973,133728,52893,322.66142306142393,78.71333541681427,412.0,671.9699999995339
180,CRL-AM,factory,199,9,1,4979.054579330344,69149,24653,164.23974242482348,70.68960573480193,198.0,348.7499999998278
181,CRL-AM,forest,199,1,1,7786.81643480938,102666,31376,305.0807840386195,60.66394694615289,310.0,517.2099999996747
182,CRL-AM,forest,199,10,1,7630.846951986692,100276,31144,297.7127176983027,61.323986925568924,304.0,507.8599999996831
183,CRL-AM,forest,199,2,1,7717.476283603199,101462,33030,302.2727520434632,64.37969008872567,308.0,513.0499999996784
184,CRL-AM,forest,199,3,1,7645.690843964077,100271,31525,296.72127676434144,61.96560196564066,305.0,508.7499999996823
185,CRL-AM,forest,199,4,1,7222.31053410321,95924,29972,279.55131589471955,62.010179169980276,288.0,483.3399999997054
186,CRL-AM,forest,199,5,1,7425.596034288468,98104,29843,289.7943360250756,60.22319086253059,296.0,495.5399999996943
187,CRL-AM,forest,199,6,1,7992.72318825882,104622,31929,308.11234081854803,60.29231263104083,318.0,529.5699999996634
188,CRL-AM,forest,199,7,1,7608.4076288606775,99669,31019,296.9990438117277,61.24064677897639,303.0,506.50999999968434
189,CRL-AM,forest,199,8,1,7772.031141863118,102262,33065,301.5731619535918,64.03850250812617,310.0,516.3299999996755
190,CRL-AM,forest,199,9,1,7693.674201756589,100858,31517,297.893720848933,61.60115708621412,306.0,511.6299999996797
191,CRL-AM,urban,199,1,1,6548.315712659188,87247,27562,253.59944198525102,62.230751862759185,261.0,442.8999999997422
192,CRL-AM,urban,199,10,1,5869.704170108594,80028,27941,219.67352600115046,69.47214003335573,234.0,402.1899999997792
193,CRL-AM,urban,199,2,1,6790.230299987313,90578,26690,260.96560884216336,58.349000918227915,270.0,457.419999999729
194,CRL-AM,urban,199,3,1,7161.139374252731,95325,28000,276.9612142856013,58.37346509061855,285.0,479.66999999970875
195,CRL-AM,urban,199,4,1,6158.7631813897715,83055,29509,231.69608695644493,70.33823564468963,245.0,419.52999999976345
196,CRL-AM,urban,199,5,1,5952.400489714983,80337,26563,225.08652637119883,65.24131155597371,237.0,407.1499999997747
197,CRL-AM,urban,199,6,1,6893.2244718521015,91196,33073,251.2694221871792,71.33951682489158,274.0,463.59999999972337
198,CRL-AM,urban,199,7,1,12418.659531058884,158404,54081,430.13362160432655,68.01614850593536,494.0,795.1199999994219
199,CRL-AM,urban,199,8,1,5803.662235248254,79233,26953,222.14895336319816,67.68369243135628,231.0,398.21999999978283
200,CRL-AM,urban,199,9,1,27580.272046877006,338085,116689,888.544715439333,68.44652221354524,1100.0,1704.8199999985945
